,wind_speed_mps,wave_height_m
t964,8.72,1.03
t965,10.2374,1.06
t966,11.51445,1.22
t967,11.38096667,1
t968,10.14736667,1.16
t969,9.782816667,1.05
t970,5.074066667,1.21
t971,3.059033333,1.04
t972,1.641616667,1.06
t973,1.5094,0.95
t974,4.2463,1.14
t975,4.99535,1.03
t976,3.486683333,1.04
t977,2.757266667,1.12
t978,2.275583333,1.05
t979,1.945733333,0.99
t980,3.237316667,1.01
t981,4.47895,0.95
t982,5.932466667,0.99
t983,7.303666667,1.02
t984,8.402183333,0.93
t985,9.253266667,1
t986,8.103933333,1
t987,7.9562,0.96
t988,7.454416667,1
t989,7.942916667,0.93
t990,7.93675,0.86
t991,6.861516667,0.86
t992,8.1724,0.88
t993,8.521,0.91
t994,7.913733333,0.93
t995,7.717533333,0.9
t996,7.162683333,0.94
t997,6.998116667,0.94
t998,6.643716667,0.95
t999,6.092616667,0.99
t1000,5.373666667,1.02
t1001,5.529766667,0.91
t1002,5.074766667,0.85
t1003,4.487016667,0.79
t1004,4.284233333,0.79
t1005,3.760116667,0.79
t1006,4.337216667,0.71
t1007,4.342133333,0.68
t1008,4.0675,0.66
t1009,4.622016667,0.64
t1010,4.750933333,0.7
t1011,4.935083333,0.64
t1012,5.68115,0.64
t1013,6.03975,0.57
t1014,6.442316667,0.65
t1015,6.71615,0.56
t1016,6.9956,0.6
t1017,7.61025,0.61
t1018,8.66785,0.55
t1019,9.77595,0.58
t1020,10.37625,0.65
t1021,11.22398333,0.58
t1022,11.4868,0.65
t1023,12.9854,0.74
t1024,14.49006667,0.83
t1025,14.69381667,1.03
t1026,15.93933333,1.25
t1027,15.88111667,1.46
t1028,17.54546667,1.86
t1029,19.00373333,1.9
t1030,18.74728333,2.04
t1031,15.44805,2.05
t1032,22.94041667,2.56
t1033,15.50696667,3.75
t1034,18.86608333,3.58
t1035,23.72815,2.86
t1036,23.61138333,3.39
t1037,22.17903333,3.59
t1038,22.95206667,4.06
t1039,23.69205,4.06
t1040,21.40133333,3.74
t1041,20.05568333,3.82
t1042,20.64965,3.28
t1043,22.14818333,3.28
t1044,21.9818,3.34
